timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743787459610,877,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-1,,true,,5664,525,5,5,null,0,3485,665
1743787463095,877,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-1,text,true,,5664,525,5,5,https://petstore.octoperf.com/actions/Catalog.action,877,0,665
1743787459803,864,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-2,,true,,5664,525,5,5,null,0,3416,651
1743787463219,864,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-2,text,true,,5664,525,5,5,https://petstore.octoperf.com/actions/Catalog.action,864,0,651
1743787460794,860,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-3,,true,,5664,525,7,7,null,0,3379,646
1743787464173,860,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-3,text,true,,5664,525,7,7,https://petstore.octoperf.com/actions/Catalog.action,860,0,646
1743787462561,868,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-4,,true,,5664,525,10,10,null,0,3334,653
1743787465894,868,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-4,text,true,,5664,525,10,10,https://petstore.octoperf.com/actions/Catalog.action,868,0,653
1743787464084,213,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-2,,true,,4093,656,11,11,null,0,3088,0
1743787467171,213,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-2,text,true,,4093,656,11,11,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,213,0,0
1743787463974,213,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-1,,true,,4093,656,11,11,null,0,3351,0
1743787467324,213,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-1,text,true,,4093,656,11,11,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,213,0,0
1743787463862,877,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-5,,true,,5664,525,11,11,null,0,3326,655
1743787467187,877,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-5,text,true,,5664,525,11,11,https://petstore.octoperf.com/actions/Catalog.action,877,0,655
1743787464645,858,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-7,,true,,5664,525,12,12,null,0,3086,644
1743787467731,858,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-7,text,true,,5664,525,12,12,https://petstore.octoperf.com/actions/Catalog.action,858,0,644
1743787465032,214,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-3,,true,,4097,656,12,12,null,0,3491,0
1743787468523,214,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-3,text,true,,4097,656,12,12,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,214,0,0
1743787464084,1755,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-6,,true,,5664,525,12,12,null,0,3181,1540
1743787467264,1755,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-6,text,true,,5664,525,12,12,https://petstore.octoperf.com/actions/Catalog.action,1755,0,1540
1743787466166,857,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-9,,true,,5664,525,12,12,null,0,3099,644
1743787469265,857,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-9,text,true,,5664,525,12,12,https://petstore.octoperf.com/actions/Catalog.action,857,0,644
1743787465888,874,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-8,,true,,5664,525,12,12,null,0,3496,656
1743787469384,874,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-8,text,true,,5664,525,12,12,https://petstore.octoperf.com/actions/Catalog.action,874,0,656
1743787466763,215,Scn-1_Stp-02_ClickOnSignIn,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-4,,true,,4095,656,12,12,null,0,3451,0
1743787470213,215,Scn-1_Stp-02_ClickOnSignIn,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-4,text,true,,4095,656,12,12,https://petstore.octoperf.com/actions/Account.action;jsessionid=7E6F84ADB7D9D49E49938BE633299882?signonForm=,215,0,0
